book_id,title,review_url
L242,GRUMPY BIRD,https://www.amazon.com/Grumpy-Bird-Jeremy-Tankard/product-reviews/0545871824/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M12,GUESS HOW MUCH I LOVE YOU,https://www.amazon.com/Guess-How-Much-Love-You/product-reviews/0763642649/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L205,"HAND, HAND, FINGERS, THUMB",https://www.amazon.com/Fingers-Thumb-Bright-Early-Board/product-reviews/0679890483/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L227,"HAPPY BIRTHDAY, BABY!",https://www.amazon.com/Seusss-Happy-Birthday-Nursery-Collection/product-reviews/0375846212/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M13,HAROLD AND THE PURPLE CRAYON,https://www.amazon.com/Harold-Purple-Crayon-Books/product-reviews/0064430227/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M53,HARRY THE DIRTY DOG,https://www.amazon.com/Harry-Dirty-Dog/product-reviews/006443009X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L129,"HELLO, ROCK",https://www.amazon.com/Hello-Rock-Roger-Bradfield/product-reviews/1930900643/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L120,HIPPOS GO BERSERK,https://www.amazon.com/Hippos-Go-Berserk-Sandra-Boynton/product-reviews/0689834349/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L228,HOP ON POP,https://www.amazon.com/Hop-Pop-Can-Read-Myself/product-reviews/039480029X/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L121,HORNS TO TOES AND IN BETWEEN,https://www.amazon.com/Horns-Toes-Between-Sandra-Boynton/product-reviews/0671493191/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M91,HORTON HEARS A WHO!,https://www.amazon.com/Horton-Hears-Who-Dr-Seuss/product-reviews/0394800788/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,https://www.amazon.com/How-Do-Dinosaurs-Say-Goodnight/product-reviews/0590316818/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,https://www.amazon.com/How-Dinosaurs-Say-Happy-Birthday/product-reviews/0545153530/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L167,HOW ROCKET LEARNED TO READ,https://www.amazon.com/How-Rocket-Learned-Read-Hills/product-reviews/0375858997/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L211,HOW TO BABYSIT A GRANDMA,https://www.amazon.com/How-Babysit-Grandma-relationships/product-reviews/0385753845/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L170,HOW TO CATCH A STAR,https://www.amazon.com/How-Catch-Star-Oliver-Jeffers/product-reviews/0399242864/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
M71,HOW TO TRAIN A TRAIN,https://www.amazon.com/How-Train-Jason-Carter-Eaton/product-reviews/0763663077/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L102,HUG,https://www.amazon.com/Hug-Jez-Alborough/product-reviews/0763615765/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L139,I AM A BIG SISTER!,https://www.amazon.com/Big-Sister-Caroline-Jayne-Church/product-reviews/0545688981/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L214,I AM A BUNNY,https://www.amazon.com/Am-Bunny-Golden-Sturdy-Book/product-reviews/0375827781/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
L159,I LOVE MY MOMMY BECAUSE,https://www.amazon.com/I-Love-My-Mommy-Because/product-reviews/0525472479/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews
