book_id,title,author,earliest_publication,isbn_updated,notes_isbn
M98,ARNIE THE DOUGHNUT,LAURIE KELLER,2003,"9780805062830 0805062831 9780439766425 0439766427",NA
M99,WHEN DINOSAURS CAME WITH EVERYTHING,ELISE BROACH,2006,9780689869228 0689869223,NA
NA,ANIMALIA,GRAEME BASE,1986,"0670815365 9780670815364 0140559965 9780140559965 9780670076673 0670076678 0670852805 9780670852802 0140541128 9780140541120 0670877972 9780670877973 9780670879168 0670879169",NA
L115,BARNYARD DANCE!,SANDRA BOYNTON,1993,9780761166160 0761166165,NA
M4,"CLICK, CLACK, MOO: COWS THAT TYPE",DOREEN CRONIN,1997,9780689832130 0689832133,NA
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,2003,078681988X 9780786819881,NA
M47,I'M A BIG SISTER,JOANNA COLE,1997,"0688145094 9780688145095 0688145108 9780688145101",NA
M55,LILLY'S PURPLE PLASTIC PURSE,KEVIN HENKES,1996,0340714654 9780340714652,NA
M43,"OH, THE PLACES YOU'LL GO",DR. SEUSS,1990,0679805273 9780679805274,NA
M61,THERE'S AN ALLIGATOR UNDER MY BED,MERCER MAYER,1987,"0803703740 9780803703742 0803703759 9780803703759 075873784X 9780758737847 0329026879 9780329026875",NA
