cluster_id,tsne_X,tsne_Y,n,effect_size,eff_conf_low,eff_conf_high,is_gendered,gender_bias,t_statistic,mean_gender
80,5.131881792038964,-15.157865123074606,21,-0.6210728677411456,-1.11,-0.27,TRUE,male,-2.846113428507097,2.7836494854351996
81,11.704819004272919,9.26341566374672,27,-0.1609122662115359,-0.61,0.21,FALSE,neither,-0.8361246619182867,2.9128700910563654
82,16.95108457879906,-4.011147691682262,28,0.04615827243445526,-0.39,0.39,FALSE,neither,0.2442466196198731,3.001522435897436
83,9.82397905967916,0.3691410522325908,23,0.10214749400566277,-0.36,0.51,FALSE,neither,0.4898821717797545,3.0173833412963846
84,-24.17689748607255,0.9876258867309852,21,-0.16537562403651843,-0.69,0.25,FALSE,neither,-0.7578463152479041,2.8552699284842142
85,-23.012912497728976,-12.739389817513398,22,0.3512995607361127,-0.06,0.77,FALSE,neither,1.647740996095711,3.156903023447141
86,-27.476967986388264,0.9829744384632728,23,-0.5317315276513384,-1.27,-0.07,TRUE,male,-2.550094822249518,2.667859133620003
87,16.74435882729569,10.036069314752144,18,0.15721475368698937,-0.33,0.61,FALSE,neither,0.6670057106078578,3.06118951854246
88,-2.081331975643503,24.76081472110879,20,0.6049336811258638,0.09,2.02,TRUE,female,2.705345665753226,3.4721848739495798
89,-26.242169970660868,-9.976489157042328,43,0.43616047361381066,0.15,0.8,TRUE,female,2.8600954924530084,3.2100604821535055
90,-2.07235245413721,-2.365254611931769,22,-0.5825036993913978,-0.98,-0.23,TRUE,male,-2.7321845317808613,2.709982541967836
91,-16.700065354017323,-5.6474167052919615,10,0.2585939001008661,-0.45,0.98,FALSE,neither,0.8177457133447825,3.082967032967033
92,-4.770808192113096,3.0240149080885885,28,0.12959959382940506,-0.25,0.54,FALSE,neither,0.6857765905751737,3.04533496090744
93,21.82907672777038,10.203752996703168,16,-0.169910096783785,-0.68,0.38,FALSE,neither,-0.67964038713514,2.8906788677009265
94,-24.93922535913349,7.228075583447771,28,0.43503006444159464,0.06,0.8,TRUE,female,2.3019627266977247,3.2982186143688246
95,11.896894586763958,4.54525350037572,25,0.11265486849001849,-0.31,0.52,FALSE,neither,0.5632743424500924,3.0319725274725275
96,24.509469348773276,4.168336143233768,25,0.7356610540539251,0.43,1.14,TRUE,female,3.6783052702696253,3.1586153846153846
97,26.469467763728698,13.100358808658582,37,-0.8260760146989312,-1.21,-0.54,TRUE,male,-5.02482422938874,2.6814475270357625
98,-12.723280031879137,-13.964385844617205,21,0.4150317518966638,-0.05,0.98,FALSE,neither,1.9019144188765937,3.251953601953602
99,-17.96101768363447,-8.158548839715621,10,0.7501526448642052,0.13,2.05,TRUE,female,2.3721909505703,3.605649644473174
100,-16.459493746450573,25.09690161243883,29,2.9038796635470026,1.54,17.29,TRUE,female,15.637870568286905,4.746828492670278
