run,subj_id,question_name,response_str
run1,P118,home_languages,english
run1,P119,home_languages,english
run1,P120,home_languages,english
run1,P121,home_languages,english
run1,P122,home_languages,english
run1,P123,home_languages,english
run1,P124,home_languages,english
run1,P125,home_languages,english
run1,P126,home_languages,english
run1,P127,home_languages,english
run1,P128,home_languages,english
run1,P129,home_languages,NA
run1,P130,home_languages,english
run1,P131,home_languages,english
run1,P132,home_languages,english
run1,P133,home_languages,english
run1,P134,home_languages,english
run1,P135,home_languages,english
run1,P136,home_languages,english
run1,P137,home_languages,english
run1,P138,home_languages,english
run1,P139,home_languages,english
run1,P140,home_languages,english
run1,P141,home_languages,english
run1,P142,home_languages,english
run1,P143,home_languages,english
run1,P144,home_languages,english
run1,P145,home_languages,english and spanish
run1,P146,home_languages,english
run1,P147,home_languages,english
run1,P148,home_languages,english
run1,P149,home_languages,english
run1,P150,home_languages,english
run1,P151,home_languages,english
run1,P152,home_languages,"turkish, english"
run1,P153,home_languages,NA
run1,P154,home_languages,"english, some italian"
run1,P155,home_languages,english
run1,P156,home_languages,english
run1,P157,home_languages,english
run1,P158,home_languages,english
run1,P159,home_languages,english
run1,P160,home_languages,english
run1,P161,home_languages,english
run1,P162,home_languages,english
run1,P163,home_languages,english
run1,P164,home_languages,english
run1,P1,age,30
run1,P2,age,38
run1,P3,age,26
run1,P4,age,29
run1,P5,age,28
run1,P6,age,39
run1,P7,age,19
run1,P8,age,34
run1,P9,age,43
run1,P10,age,36
run1,P11,age,27
run1,P12,age,30
run1,P13,age,34
run1,P14,age,41
run1,P15,age,29
run1,P16,age,27
run1,P17,age,37
run1,P18,age,26
run1,P19,age,36
run1,P20,age,25
run1,P21,age,38
run1,P22,age,24
run1,P23,age,22
run1,P24,age,24
run1,P25,age,26
run1,P26,age,52
run1,P27,age,27
run1,P28,age,27
run1,P29,age,64
run1,P30,age,27
run1,P31,age,32
run1,P32,age,34
run1,P33,age,33
run1,P34,age,44
run1,P35,age,24
run1,P36,age,34
run1,P37,age,26
run1,P38,age,33
run1,P39,age,56
run1,P40,age,50
run1,P41,age,25
run1,P42,age,32
run1,P43,age,43
run1,P44,age,26
run1,P45,age,29
run1,P46,age,38
run1,P47,age,29
