book_id,title,publisher,publisher_desription,n_pages,google_mean_rating,google_num_ratings,cover_thumbnail_url,preview_url
M12,GUESS HOW MUCH I LOVE YOU,NA,"Sometimes, when you love someone very, very much, you want to find a way of describing how much you treasure them. But, as Little Nutbrown Hare and Big Nutbrown Hare discover, love is not always an easy thing to measure. Now new and exisiting fans can relive this cherished classic with this lavish edition, celebrating two decades of delighting readers since its initial creation.",32,4,41,http://books.google.com/books/content?id=HJrboQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=HJrboQEACAAJ&dq=isbn:9781406358902&hl=&cd=1&source=gbs_api
L104,GIRAFFES CAN'T DANCE,Orchard Books,"Celebrate the 20th anniversary of much-loved picture book classic, Giraffes Can't Dance, with this special new edition and a super-shiny cover! Gerald the giraffe longs to go to the great Jungle Dance, but how can he join in when he doesn't know how to tango or two-step? Everyone knows that giraffes can't dance ... or can they? A funny, touching and triumphant story about being yourself and finding your own tune, Giraffes Can't Dance has been a family favourite for 20 years. ""All toddlers should grow up reading this"" Daily Mail ""A modern classic"" Baby & Me ""A joyful read about an outsider who finds acceptance on his own terms . . . there's also a simple moral about tolerance and daring to be different"" Junior ""A fantastically funny and wonderfully colourful romp"" Daily Telegraph",32,NA,NA,http://books.google.com/books/content?id=h4vktgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=h4vktgEACAAJ&dq=isbn:9781408354414&hl=&cd=1&source=gbs_api
L148,THE POUT-POUT FISH,"Farrar, Straus and Giroux (BYR)","A NEW YORK TIMES BEST SELLER Deep in the water, Mr. Fish swims about With his fish face stuck In a permanent pout. Can his pals cheer him up? Will his pout ever end? Is there something he can learn From an unexpected friend? Swim along with the pout-pout fish as he discovers that being glum and spreading ""dreary wearies"" isn't really his destiny. Bright ocean colors and playful rhyme come together in this fun fish story that's sure to turn even the poutiest of frowns upside down.The Pout-Pout Fish is a 2009 Bank Street - Best Children's Book of the Year.",32,4,6,http://books.google.com/books/content?id=00gTAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=00gTAgAAQBAJ&printsec=frontcover&dq=isbn:9781429916332&hl=&cd=1&source=gbs_api
M98,ARNIE THE DOUGHNUT,Henry Holt and Company (BYR),"A deliciously imaginative story about friendship_Êîfrom the author / illustrator of The Scrambled States of America. Arnie was fascinated as he watched the customers stream into the bakery. One by one, doughnuts were chosen, placed in paper bags, and whisked away with their new owners. Some went by the dozen in giant boxes. ""Good-bye!"" Arnie yelled to each doughnut. ""Have a good trip!"" ""This is so exciting!"" Arnie beamed. ""I wonder who will choose ME?"" At first glance, Arnie looks like an average doughnut_Êîround, cakey, with a hole in the middle, iced and sprinkled. He was made by one of the best bakeries in town, and admittedly his sprinkles are candy-colored. Still, a doughnut is just a doughnut, right? WRONG! Not if Arnie has anything to say about it. And, for a doughnut, he sure seems to have an awful lot to say. Can Arnie change the fate of all doughnuts_Êîor at least have a hand in his own future? Well, you'll just have to read this funny story and find out for yourself. This title has Common Core connections Arnie, the Doughnut is a 2004 Bank Street - Best Children's Book of the Year.",40,3.5,6,http://books.google.com/books/content?id=zQzOXLGijlwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zQzOXLGijlwC&printsec=frontcover&dq=isbn:9781429940016&hl=&cd=1&source=gbs_api
L131,ARTHUR'S NOSE,Paw Prints,A young aardvark who is ashamed of his nose decides to go to the doctor to change his appearance,NA,3.5,4,http://books.google.com/books/content?id=3Er5PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=3Er5PgAACAAJ&dq=isbn:9781442046061&hl=&cd=1&source=gbs_api
L171,LOST AND FOUND,Simon and Schuster,"As two clever boys exploit a clerical oversight, each one discovers new perspectives on selfhood, friendship, and honesty. Identical twins Ray and Jay Grayson are moving to a new town. Again. But at least they_Ê_ll have each other_Ê_s company at their new school. Except, on the first day of sixth grade, Ray stays home sick, and Jay quickly discovers a major mistake: No one knows about his brother. Ray_Ê_s not on the attendance lists and doesn_Ê_t have a locker, or even a student folder. Jay decides that this lost information could be very_Ê_useful. And fun. Maybe even a little dangerous.",192,4,24,http://books.google.com/books/content?id=SiOcAnChztoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=SiOcAnChztoC&printsec=frontcover&dq=isbn:9781442406155&hl=&cd=1&source=gbs_api
L143,"GOOD DOG, CARL",Simon & Schuster Books For Young Readers,Lively and unusual things happen when Carl the dog is left in charge of the baby.,40,4.5,33,http://books.google.com/books/content?id=1MK7RwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1MK7RwAACAAJ&dq=isbn:9781442416604&hl=&cd=1&source=gbs_api
M75,CHICKA CHICKA 1-2-3,Simon and Schuster,"1 told 2 and 2 told 3, ""I'll race you to the top of the apple tree."" One hundred and one numbers climb the apple tree in this bright, rollicking, joyous book for young children. As the numerals pile up and bumblebees threaten, what's the number that saves the day? (Hint: It rhymes with ""hero."") Read and count and play and laugh to learn the surprising answer.",40,4,27,http://books.google.com/books/content?id=ttVVyAdK7l4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=ttVVyAdK7l4C&printsec=frontcover&dq=isbn:9781442424159&hl=&cd=1&source=gbs_api
M14,THE KEEPING QUILT,Simon and Schuster,"A homemade quilt ties together the lives of six generations of the author's immigrant Jewish family, remaining a symbol of their enduring love and faith.",32,4,39,http://books.google.com/books/content?id=91bjvI3jmAUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=91bjvI3jmAUC&printsec=frontcover&dq=isbn:9781442449824&hl=&cd=1&source=gbs_api
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",Simon and Schuster,"He could tell it was going to be a terrible, horrible, no good, very bad day. He went to sleep with gum in his mouth and woke up with gum in his hair. When he got out of bed, he tripped over his skateboard and by mistake dropped his sweater in the sink while the water was running. He could tell it was going to be a terrible, horrible, no good, very bad day. It was a terrible, horrible, no good, very bad day. Nothing at all was right. Everything went wrong, right down to lima beans for supper and kissing on TV. What do you do on a day like that? Well, you may think about going to Australia. You may also be glad to find that some days are like that for other people too.",32,4,187,http://books.google.com/books/content?id=AGXinn6juRMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=AGXinn6juRMC&printsec=frontcover&dq=isbn:9781442463165&hl=&cd=1&source=gbs_api
L142,TODAY I'LL BE A PRINCESS,Andrews McMeel Publishing,"Every little girl wants to be a princess, and every mom knows that the grass isn't always greener on the other side of the castle walls. With its colorful pictures, Today I'll Be a Princess will make both sides happy, encouraging hours of imaginative play. Our heroine imagines all sorts of advantages to being a princess, until she learns that princesses don't get to play in the mud. It's no contest, and the tiara is abandoned in favor of playtime outside.",12,NA,NA,http://books.google.com/books/content?id=8h0CBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8h0CBQAAQBAJ&printsec=frontcover&dq=isbn:9781449462864&hl=&cd=1&source=gbs_api
L216,I WISH YOU MORE,Chronicle Books,"Some books are about a single wish. Some books are about three wishes. The infallible team of Amy Krouse Rosenthal and Tom Lichtenheld have combined their extraordinary talents to create this exuberant book of endless good wishes. Wishes for curiosity and wonder, for friendship and strength, laughter and peace. Whether celebrating life's joyous milestones, sharing words of encouragement, or observing the wonder of everyday moments, this sweet and uplifting book is perfect for wishers of every age. Plus, this is the fixed format version, which will look almost identical to the print version.",40,4.5,4,http://books.google.com/books/content?id=oOBwBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=oOBwBgAAQBAJ&printsec=frontcover&dq=isbn:9781452150376&hl=&cd=1&source=gbs_api
L239,BRAVE IRENE,"Farrar, Straus and Giroux (BYR)","Brave Irene is Irene Bobbin, the dressmaker's daughter. Her mother, Mrs. Bobbin, isn't feeling so well and can't possibly deliver the beautiful ball gown she's made for the duchess to wear that very evening. So plucky Irene volunteers to get the gown to the palace on time, in spite of the fierce snowstorm that's brewing-- quite an errand for a little girl. But where there's a will, there's a way, as Irene proves in the danger-fraught adventure that follows. She must defy the wiles of the wicked wind, her most formidable opponent, and overcome many obstacles before she completes her mission. Surely, this winning heroine will inspire every child to cheer her on. William Steig's Brave Irene is a 1986 New York Times Book Review Best Illustrated Book of the Year. NARRATED by MERYL STREEP.",32,3.5,18,http://books.google.com/books/content?id=bUsTAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=bUsTAgAAQBAJ&printsec=frontcover&dq=isbn:9781466808485&hl=&cd=1&source=gbs_api
L164,MVP: MOST VALUABLE PUPPY,Simon and Schuster,"From New York Times bestselling author and ESPN Television personality Mike Greenberg, host of the new morning talk show Get Up, and his wife Stacy comes a heartwarming, silly tale about a dog and her human pal. And all the authors_Ê_ proceeds from this book are going to combat pediatric cancer! Phoebe is a dog with a pink tail. She lives with her family_Êîthe Man in the Box, the Lady who Feeds Her, the Baby, and her sister the Girl with Curly Hair. Phoebe_Ê_s favorite time of day is when she and her sister go to the park and play. But today things are a different. Can Phoebe convince her best friend to try something new? And can she show her that sometimes it_Ê_s okay not to be perfect? Phoebe and her sister learn that no matter what happens and no matter how many mistakes you make, your family will always be there for you. In 2013, Mike and Stacy created the Heidi_Ê_s Angels Foundation to fund cancer research. The authors will donate their proceeds from this book to Heidi_Ê_s Angels, to help fight pediatric cancer through its support of the V Foundation for Cancer Research.",32,NA,NA,http://books.google.com/books/content?id=iGBEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=iGBEDwAAQBAJ&printsec=frontcover&dq=isbn:9781481489324&hl=&cd=1&source=gbs_api
L151,THE GRUFFALO'S CHILD,Pan Macmillan,"""The Gruffalo said that no gruffalo shouldEver set foot in the deep dark wood.""But one wild and windy night the Gruffalo's child disobeys her father's warnings and ventures out into the snow. After all, the Big Bad Mouse doesn't really exist . . . does he?The Gruffalo's Child is the Number One best-selling, much-loved sequel to the worldwide picture-book phenomenon that is The Gruffalo. Julia Donaldson's trademark rhyming text and Axel Scheffler's brilliant, characterful illustrations combine once more to ensure that the Gruffalo's Child has followed firmly in her father's footsteps and that her story is one that children will ask for again, and again... and again! This edition features the classic story with a stunning redesigned cover and beautiful finish, making it a must-have addition to the bookshelves of all Donaldson and Scheffler fans - big and small!Also available with redesigned covers are The Gruffalo, Room on the Broom, The Snail and the Whale, The Smartest Giant in Town, Monkey Puzzle, Charlie Cook's Favourite Book, and A Squash and a Squeeze.",32,3.5,9,http://books.google.com/books/content?id=JEvFDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=JEvFDAAAQBAJ&dq=isbn:9781509804764&hl=&cd=1&source=gbs_api
L160,TEN LITTLE LADYBUGS,Intervisual/Piggy Toes,"In Ten Little Ladybugs, one by one, ten tactile bugs disappear. Where did they all go? Young ones will love finding this out as they feel their way through the sturdy, colorful pages of this innovative book. The cute critters provide a hands-on learning experience and the rhyming text reinforces the counting concept. Interactive, educational, adorable - this magical countdown book adds up to a whole lot of fun. See why over 800,000 have been sold to date!",22,5,12,http://books.google.com/books/content?id=dus-GgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=dus-GgAACAAJ&dq=isbn:9781581175783&hl=&cd=1&source=gbs_api
L132,BIG RED BARN,Harper Collins,"By the big red barn In the great green field, There was a pink pig Who was learning to squeal. There were horses and sheep and goats and geese -- and a jaunty old scarecrow leaning on his hoe. And they all lived together by the big red barn. In joyous and exuberant Pictures, Felicia Bond lovingly evokes Margaret Wise Brown's simple, rhythmic text about the cycle of a day on a farm, where a family of animals peacefully plays and sleeps. There were horses and sheep and goats and geese -- and a jaunty old scarecrow leaning on his hoe. And they all lived together by the big red barn. In joyous and exuberant pictures, Felicia Bond lovingly evokes Margarett Wise Brown's simple, rhythmic text about the cycle of a day on a farm, where a family of animals peacefully plays and sleeps. ""Brown's melodic text is beguiling, while its subject'the big red barn that houses a menagerie of animals and their offspring'will have instant appeal to young children. Bond's newly added drawings have a simplicity that suits the story [about the cycle of a day on a farm]. A welcome reprise."" 'BL.",32,4.5,5,http://books.google.com/books/content?id=fNydlVCw040C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=fNydlVCw040C&printsec=frontcover&dq=isbn:9780060207489&hl=&cd=1&source=gbs_api
M9,THE CARROT SEED,Harper Collins,"When a little boy plants a carrot seed, everyone tells him it won't grow. But when you are very young, there are some things that you just know, and the little boy knows that one day a carrot will come up. So he waters his seed, and pulls the weeds, and he waits ... First published in 1945 and never out of print, this timeless combination of Ruth Krauss's simple text and Crockett Johnson's eloquent illustrations creates a triumphant and deeply satisfying story for readers of all ages.",32,3.5,13,http://books.google.com/books/content?id=PFvBvtifZrwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PFvBvtifZrwC&printsec=frontcover&dq=isbn:9780060233501&hl=&cd=1&source=gbs_api
M28,THE RUNAWAY BUNNY,Harper Collins,"A little bunny keeps runningaway from his mother in an imaginative and imaginary game of verbal hide-and-seek; children will be profoundly comforted by this lovingly steadfast mother who finds her child every time. The Runaway Bunny, first published in 1942 and never out of print, has indeed become a classic. Generations of readers have fallen in love with the gentle magic of its reassuring words and loving pictures.",48,2.5,17,http://books.google.com/books/content?id=Kr3QSOrKoGYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Kr3QSOrKoGYC&printsec=frontcover&dq=isbn:9780060775827&hl=&cd=1&source=gbs_api
M45,GOODNIGHT MOON,HarperCollins,"Share this timeless classic with a new generation of readers! In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room_Êîto the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one_Êîthe little bunny says goodnight. In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.",32,4,196,http://books.google.com/books/content?id=dJNoDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=dJNoDQAAQBAJ&printsec=frontcover&dq=isbn:9780062662897&hl=&cd=1&source=gbs_api
M79,THE GROUCHY LADYBUG,Harper Collins,"It's the Grouchy Ladybug's 20th birthday. To celebrate, we are introducing a new, larger format edition with brighter, more colorful pages created from Eric Carle's original artwork using the latest reproduction technology. The Grouchy Ladybug is bigger and brigher, as irascible but irresistable as ever and will surely delight new generations of readers, as well as her devoted fans of all ages. Happy Birthday, Grouchy Ladybug!",48,4,84,http://books.google.com/books/content?id=0dXL2Cysc-QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=0dXL2Cysc-QC&printsec=frontcover&dq=isbn:9780064434508&hl=&cd=1&source=gbs_api
L241,THE MONSTER AT THE END OF THIS BOOK,NA,Grover worries about meeting the monster at the end of this book.,NA,5,2,http://books.google.com/books/content?id=rmx9tgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=rmx9tgEACAAJ&dq=isbn:9780375976506&hl=&cd=1&source=gbs_api
M26,THE LITTLE HOUSE,Houghton Mifflin Harcourt,"A country house is unhappy when the city, with all its buildings and traffic, grows up around her.",40,4,56,http://books.google.com/books/content?id=toD6rw6PpnEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=toD6rw6PpnEC&printsec=frontcover&dq=isbn:9780395181560&hl=&cd=1&source=gbs_api
M62,THE VERY HUNGRY CATERPILLAR,NA,"Follows the progress of a hungry little caterpiller as he eats his way through a varied and very large quantity of food until, full at last, he forms a cocoon around himself and goes to sleep.",20,4,108,http://books.google.com/books/content?id=9kl_ZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=9kl_ZwEACAAJ&dq=isbn:9780399255564&hl=&cd=1&source=gbs_api
M32,THE NAPPING HOUSE,Houghton Mifflin Harcourt,"Delightful cumulative rhyme leads up to the consequences of piling too many sleepy people and animals in a cozy bed. _Ê_Don Wood_Ê_s paintings endow Audrey_Ê_s familiar plot with beauty and newness, conveying atmosphere as well as illustrating the story._Êù--Publishers Weekly",32,4.5,24,http://books.google.com/books/content?id=onNjBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=onNjBwAAQBAJ&printsec=frontcover&dq=isbn:9780547848488&hl=&cd=1&source=gbs_api
M42,IF YOU GIVE A MOUSE A COOKIE,Scholastic Paperbacks,"If you give a mouse a cookie, he's going to ask for a glass of milk and that's only the beginning!",19,4,168,http://books.google.com/books/content?id=h-YKhhYpTzIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=h-YKhhYpTzIC&dq=isbn:9780590402330&hl=&cd=1&source=gbs_api
M10,THE SNOWY DAY,Penguin,The adventures of a little boy in the city on a very snowy day. On board pages.,32,4,198,http://books.google.com/books/content?id=Hu4iDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Hu4iDAAAQBAJ&printsec=frontcover&dq=isbn:9780670013258&hl=&cd=1&source=gbs_api
M13,HAROLD AND THE PURPLE CRAYON,Perfection Learning,"First published in 1955, this classic tells the story of young Harold, whose purple crayon and his imagination take him on wonderful adventures. Full color.",64,4,60,http://books.google.com/books/content?id=W38uPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=W38uPwAACAAJ&dq=isbn:9780812432435&hl=&cd=1&source=gbs_api
L169,MAMA DON'T ALLOW,Turtleback,"Miles teams up with three other musicians to form the Swamp Band, in a tale inspired by an American folksong.",NA,3.5,2,http://books.google.com/books/content?id=yMkCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=yMkCAAAACAAJ&dq=isbn:9780808536987&hl=&cd=1&source=gbs_api
L182,ALLIGATOR PIE,HarperCollins,"A slice of Alligator Pie_Êîsized for little ones! One of the best loved Canadian poems of all time, _Ê_Alligator Pie_Êù established Dennis Lee_Ê_s reputation as _Ê_Canada_Ê_s Father Goose_Êù when it appeared in his classic poetry collection of the same name in 1974. Now Lee's timeless rhyme is paired with striking artwork by Sandy Nichols, winner of a nationwide competition to find the perfect illustrator for the iconic poem. This special 40th anniversary edition will stand up to re-readings for years to come and is a must-have for every baby and preschooler's library.",13,NA,NA,http://books.google.com/books/content?id=kArNBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=kArNBAAAQBAJ&printsec=frontcover&dq=isbn:9781443442152&hl=&cd=1&source=gbs_api
L176,BABY TOUCH AND FEEL: ANIMALS,Dk Pub,"Invites young readers to feel the textures of animals, including puppies, elephants, starfish, and snails. On board pages.",14,NA,NA,http://books.google.com/books/content?id=4eL7QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=4eL7QwAACAAJ&dq=isbn:9780756634681&hl=&cd=1&source=gbs_api
L116,BELLY BUTTON BOOK,Workman Publishing Company,Hippopotamuses celebrate their belly buttons.,24,4.5,39,http://books.google.com/books/content?id=AEieKQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=AEieKQEACAAJ&dq=isbn:9780761166184&hl=&cd=1&source=gbs_api
L219,CARS AND TRUCKS AND THINGS THAT GO,Golden Books,On their way to the beach for a picnic the Pig family encounters almost every kind of transportation vehicle imaginable--and imaginary.,69,4.5,5,http://books.google.com/books/content?id=tmZeR-bJ53QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=tmZeR-bJ53QC&printsec=frontcover&dq=isbn:9780307157850&hl=&cd=1&source=gbs_api
L183,CHUGGA-CHUGGA CHOO-CHOO,Hyperion,"A rhyming story about a toy freight train's day, from loading freight in the morning to retiring to the roundhouse after the day's work is done. On board pages.",32,NA,NA,http://books.google.com/books/content?id=tINTnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=tINTnwEACAAJ&dq=isbn:9780786807604&hl=&cd=1&source=gbs_api
M31,DON'T LET THE PIGEON DRIVE THE BUS,Hyperion,"When a bus driver takes a break from his route, a very unlikely volunteer springs up to take his place-a pigeon! But you've never met one like this before. As he pleads, wheedles, and begs his way through the book, children will love being able to answer back and decide his fate. In his hilarious picture book debut, popular cartoonist Mo Willems perfectly captures a preschooler's temper tantrum.",40,4,166,http://books.google.com/books/content?id=bNsXuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=bNsXuQEACAAJ&dq=isbn:9780786819881&hl=&cd=1&source=gbs_api
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,Hyperion,"Gerald is careful. Piggie is not. Piggie cannot help smiling. Gerald can. Gerald worries so that Piggie does not have to. Gerald and Piggie are best friends./DIVDIV Today, I Will Fly! is the funny introduction to the characters. Piggie is determined to fly. But Gerald the elephant knows that's impossible--isn't it?",64,2,1,http://books.google.com/books/content?id=9DdeugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=9DdeugEACAAJ&dq=isbn:9781423102953&hl=&cd=1&source=gbs_api
L243,ELOISE,Simon & Schuster Children's Publishing,"Six-year-old Eloise lives with her mother and her English nanny at the Plaza Hotel, where she finds many opportunities to indulge in mischief",65,4,36,http://books.google.com/books/content?id=T3JWAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=T3JWAAAAYAAJ&dq=isbn:9780671223502&hl=&cd=1&source=gbs_api
L184,FROG AND TOAD,Harper Collins,"From writing letters to going swimming, telling stories to finding lost buttons, Frog and Toad are always there for each other_Êîjust as best friends should be.",64,4.5,7,http://books.google.com/books/content?id=dtyVtv8JHXwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=dtyVtv8JHXwC&dq=isbn:9780064440202&hl=&cd=1&source=gbs_api
L138,FROM HEAD TO TOE,Harper Collins,"What does an elephant do? It stomps its foot. Can you? From the creator of such beloved classics as The Grouchy Ladybug and The Mixed-Up Chameleon comes this interactive story that invites kids to imitate animal movements. Watching giraffes bend their necks or monkeys wave their arms is fun, but nothing could be better than joining in. From their heads down to their toes, kids will be wriggling, jiggling, and giggling as they try to keep up with these animals!Alligators wiggle, elephants stop, gorillas thump, and giraffes bend. Can you do it? _ÊÑ I can do it!_Ê_ is the confidence-building message of this fun-filled interactive picture book. A variety of familiar animals invite young children to copy their antics, and as they play, they will learn such important skills as careful listening, focusing attention, and following instructions. Just as alphabet books introduce the very young child to letters and simple words, From Head to Toe introduces the basic body parts and simple body movements. And in the same way that children progress from understanding simple words to reading and writing sentences and stories, so they will progress from simple body movements to dancing, gymnastics, and other sports and activities, with confidence and pleasure. Eric Carle's colorful collages have delighted children for more than a generation. Each book provides hours of fun while encouraging them to stretch their imaginations. His matchless words and illustrations now send out a new challenge: Are you ready? Here we go! Move yourself From Head to Toe. A Main Selection of the Children_Ê_s Book-of-the-Month Club",28,4,49,http://books.google.com/books/content?id=cLw2UqfAeDsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=cLw2UqfAeDsC&printsec=frontcover&dq=isbn:9780694013012&hl=&cd=1&source=gbs_api
L153,"GO, DOG. GO!",Random House Books for Young Readers,"Different kinds of dogs drive cars, wear hats, run around in mazes, and even have wild parties in treetops.",64,4,51,http://books.google.com/books/content?id=mAi8oBp2mZ8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mAi8oBp2mZ8C&dq=isbn:9780394800202&hl=&cd=1&source=gbs_api
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",Chronicle Books,"The #1 New York Times bestseller As the sun sets behind the big construction site, all the hardworking trucks get ready to say goodnight. One by one, Crane Truck, Cement Mixer, Dump Truck, Bulldozer, and Excavator finish their work and lie down to rest_Êîso they'll be ready for another day of rough and tough construction play! With irresistible artwork by best-selling illustrator Tom Lichtenheld and sweet, rhyming text, this book will have truck lovers of all ages begging for more. Can't get enough of these tough trucks? The long-awaited sequel Mighty, Mighty, Construction Site is now available for preorder!",32,4,63,http://books.google.com/books/content?id=5ZcauwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=5ZcauwEACAAJ&dq=isbn:9780811877824&hl=&cd=1&source=gbs_api
L227,"HAPPY BIRTHDAY, BABY!",Random House Books for Young Readers,"""With Seussian stuff to touch, spin, and sniff. Based on and inspired by Dr. Seuss's Happy birthday to you!""--Cover.",10,4.5,4,http://books.google.com/books/content?id=rEE9rG1UdW4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=rEE9rG1UdW4C&printsec=frontcover&dq=isbn:9780375846212&hl=&cd=1&source=gbs_api
L146,JAMBERRY,Harper Collins,"Hatberry Shoeberry In my canoeberry Under the bridge And over the dam Looking for berries Berries for jam They're off...a boy and an endearing, rhyme-spouting bear, who squires him through a fantastic world of berries. And their adventure comes to a razzamatazz finale under a starberry sky. Children will want to feast again and again on Bruce Degen's exuberant, colorful pictures and his rollicking, berryful rhymes. A young boy and a bear joyously romp through the land of berries where there are raspberry rabbits and a brassberry band with elephants skating on strawberry jam!Bruce Degen's exuberant tale, with his equally energetic and vibrant illustrations, is now a quality board book.",34,4.5,16,http://books.google.com/books/content?id=pJkF8-r0kzMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=pJkF8-r0kzMC&printsec=frontcover&dq=isbn:9780694006519&hl=&cd=1&source=gbs_api
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,Penguin,Three sisters staying home alone are endangered by a hungry wolf who is disguised as their grandmother.,32,4.5,8,http://books.google.com/books/content?id=m-gKDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=m-gKDAAAQBAJ&printsec=frontcover&dq=isbn:9780399216190&hl=&cd=1&source=gbs_api
L103,MISS NELSON IS MISSING,Houghton Mifflin Harcourt,The arrival of a strict substitute convinces Miss Nelson's students that they must get their teacher back.,32,4,66,http://books.google.com/books/content?id=RE96I7BFGcwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RE96I7BFGcwC&printsec=frontcover&dq=isbn:9780395401460&hl=&cd=1&source=gbs_api
L209,"NUMBERS, COLORS, SHAPES",Macmillan,"Labeled pictures introduce words for items and concepts grouped into sections for numbers, colors, and shapes. On board pages.",26,3,1,http://books.google.com/books/content?id=P0RrAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=P0RrAwAAQBAJ&printsec=frontcover&dq=isbn:9780312510817&hl=&cd=1&source=gbs_api
L124,OH MY OH MY OH MY DINOSAURS!,Workman Publishing,Dinosaurs engage in such activities as sunbathing and creating art. On board pages with a die-cut cover.,20,4,8,http://books.google.com/books/content?id=5bdRCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=5bdRCwAAQBAJ&printsec=frontcover&dq=isbn:9781563054419&hl=&cd=1&source=gbs_api
